"vl_mens","curso","no_ies","est","mun"
"9804.16","MEDICINA","CENTRO UNIVERSIT?RIO UNIFAS","BA ","Lauro de Freitas"
"8596.73","MEDICINA","FACULDADE DE CI?CIAS M?ICAS DA PARA?A","PB ","Jo? Pessoa"
"8596.73","MEDICINA","FACULDADE DE CI?CIAS M?ICAS DA PARA?A","PB ","Jo? Pessoa"
"8596.73","MEDICINA","FACULDADE DE CI?CIAS M?ICAS DA PARA?A","PB ","Jo? Pessoa"
"8596.73","MEDICINA","FACULDADE DE CI?CIAS M?ICAS DA PARA?A","PB ","Jo? Pessoa"
"8596.73","MEDICINA","FACULDADE DE CI?CIAS M?ICAS DA PARA?A","PB ","Jo? Pessoa"
"8596.73","MEDICINA","FACULDADE DE CI?CIAS M?ICAS DA PARA?A","PB ","Jo? Pessoa"
"8596.73","MEDICINA","FACULDADE DE CI?CIAS M?ICAS DA PARA?A","PB ","Jo? Pessoa"
"8596.73","MEDICINA","FACULDADE DE CI?CIAS HUMANAS,EXATAS E DA SA?E DO PIAU?","PI ","Parna?a"
"8596.73","MEDICINA","FACULDADE DE CI?CIAS M?ICAS DA PARA?A","PB ","Jo? Pessoa"
