"no_ies","p_solicit","est","mun_ies"
"CENTRO UNIVERSI?RIO UNIFTC SALVADOR","99,00  ","BA ","000000002927408"
"Centro Universit?io FG","99,00  ","BA ","000000002911709"
"CENTRO UNIVERSIT?RIO CESMAC","99,00  ","AL ","000000002704302"
"CENTRO UNIVERSIT?RIO DE PATOS","99,00  ","PB ","000000002510808"
"CENTRO UNIVERSIT?RIO FACISA","99,00  ","PB ","000000002504009"
"CENTRO UNIVERSIT?RIO INTA","99,00  ","CE ","000000002312908"
"CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU","99,00  ","PE ","000000002611606"
"CENTRO UNIVERSIT?RIO TIRADENTES","99,00  ","SE ","000000002704302"
"CENTRO UNIVERSIT?RIO UNIFAS","99,00  ","BA ","000000002919207"
"CENTRO UNIVERSIT?RIO UNINOVAFAPI","99,00  ","PI ","000000002211001"
