"cod_curso","curso","p_solicit","est","mun_ies"
"1104264","MEDICINA","99,00  ","PB ","000000002503704"
"1108786","MEDICINA","99,00  ","PE ","000000002611606"
"11114","MEDICINA","99,00  ","BA ","000000002927408"
"1173014","MEDICINA","99,00  ","CE ","000000002312908"
"1178524","MEDICINA","99,00  ","BA ","000000002919207"
"1184325","MEDICINA","99,00  ","AL ","000000002704302"
"1191415","MEDICINA","99,00  ","PB ","000000002510808"
"1200578","MEDICINA","99,00  ","SE ","000000002704302"
"1200712","MEDICINA","99,00  ","PE ","000000002611606"
"5000001","MEDICINA","99,00  ","SE ","000000002800308"
